カテゴリー名,大分類,中分類,小分類,商品数,作成日時
食料品>魚介類・水産加工品>練り物,食料品,魚介類・水産加工品,練り物,1,2025-12-29T21:10:02.666751
食料品>魚介類・水産加工品>魚介類缶詰,食料品,魚介類・水産加工品,魚介類缶詰,3,2025-12-29T22:08:01.949814
食料品>魚介類加工品>その他魚介類加工品,食料品,魚介類加工品,その他魚介類加工品,10,2025-12-29T20:56:19.629096
食料品>魚介類加工品>ツナ缶,食料品,魚介類加工品,ツナ缶,7,2025-12-29T21:06:52.393242
食料品>魚介類加工品>練り物,食料品,魚介類加工品,練り物,0,2025-12-29T20:54:05.89391
食料品>魚介類加工品>魚介乾製品,食料品,魚介類加工品,魚介乾製品,0,2025-12-29T20:56:15.886615
食料品>魚介類加工品>魚介類甘露煮,食料品,魚介類加工品,魚介類甘露煮,0,2025-12-29T20:55:53.523517
食料品>魚介類加工品>魚介類缶詰・瓶詰,食料品,魚介類加工品,魚介類缶詰・瓶詰,0,2025-12-29T20:55:45.014798
食料品>魚介類加工品>魚肉ソーセージ,食料品,魚介類加工品,魚肉ソーセージ,1,2025-12-29T21:58:55.3884
食料品>麺類>その他麺類,食料品,麺類,その他麺類,2,2025-12-29T22:01:03.758461
食料品>麺類>そば類,食料品,麺類,そば類,11,2025-12-29T04:54:16.342344
食料品>麺類>インスタントラーメン,食料品,麺類,インスタントラーメン,1,2025-12-29T20:50:36.709905
食料品>麺類>インスタント麺,食料品,麺類,インスタント麺,1,2025-12-29T22:07:41.508211
食料品>麺類>スープ類,食料品,麺類,スープ類,16,2025-12-29T05:22:14.290146
食料品>麺類>ビーフン,食料品,麺類,ビーフン,1,2025-12-29T20:50:48.6729
食料品>麺類>ラーメン,食料品,麺類,ラーメン,33,2025-12-29T05:22:14.211781
食料品>麺類>米麺,食料品,麺類,米麺,1,2025-12-29T22:02:24.318627
食料品>麺類>韓国麺,食料品,麺類,韓国麺,1,2025-12-29T20:51:49.71489
食料品>麺類・ご飯類>うどん,食料品,麺類・ご飯類,うどん,13,2025-12-29T05:22:14.506024
食料品>麺類・ご飯類>ごはんの素,食料品,麺類・ご飯類,ごはんの素,21,2025-12-29T05:22:14.579803
食料品>麺類・ご飯類>ラーメン,食料品,麺類・ご飯類,ラーメン,20,2025-12-29T05:22:14.364802
食料品>麺類・ご飯類>中華料理,食料品,麺類・ご飯類,中華料理,17,2025-12-29T05:22:14.436787
食料品>麺類・ご飯類>即席食品,食料品,麺類・ご飯類,即席食品,11,2025-12-29T05:22:14.733276
食料品>麺類・ご飯類>餃子,食料品,麺類・ご飯類,餃子,9,2025-12-29T05:22:14.643305
